No,in_InitialBlobFileSet,in_TargetBlobs,expected_BlobFileSet,expected_ExceptionType,expected_ExceptionMessage,Remarks
"001","TestData\BlobRepository\001\initial","a.txt","TestData\BlobRepository\001\expected.Copy",,,"【正常系】1件中1件をコピー"
"002-01","TestData\BlobRepository\002\initial","a.txt","TestData\BlobRepository\002\01\expected.Copy",,,"【正常系】3件中1件をコピー"
"002-02","TestData\BlobRepository\002\initial","a.txt,b.txt","TestData\BlobRepository\002\02\expected.Copy",,,"【正常系】3件中2件をコピー"
"002-03","TestData\BlobRepository\002\initial","a.txt,b.txt,c.txt","TestData\BlobRepository\002\03\expected.Copy",,,"【正常系】3件中3件をコピー"
"002-04","TestData\BlobRepository\002\initial","d.txt","TestData\BlobRepository\002\04\expected.Copy","Rms.Server.Core.Utility.Exceptions.RmsException","Blobのコピーに失敗しました（copy server-unit-test1/d.txt to server-unit-test2/d.txt）","【異常系】存在しないファイルをコピー"
"003","TestData\BlobRepository\003\initial","123","TestData\BlobRepository\003\expected.Copy",,,"【正常系】半角数字のファイル名のファイルをコピー"
"004","TestData\BlobRepository\004\initial","abc","TestData\BlobRepository\004\expected.Copy",,,"【正常系】半角小文字アルファベットのファイル名のファイルをコピー"
"005","TestData\BlobRepository\005\initial","ABC","TestData\BlobRepository\005\expected.Copy",,,"【正常系】半角大文字アルファベットのファイル名のファイルをコピー"
"006","TestData\BlobRepository\006\initial","あいうえお","TestData\BlobRepository\006\expected.Copy",,,"【正常系】日本語ファイル名のファイルをコピー"
"007","TestData\BlobRepository\007\initial","!$'()=~`{+}_-^@.[;]","TestData\BlobRepository\007\expected.Copy",,,"【正常系】記号ファイル名のファイルをコピー"
"008","TestData\BlobRepository\008\initial","1","TestData\BlobRepository\008\expected.Copy",,,"【正常系】短いファイル名(1文字)のファイルをコピー"
"009","TestData\BlobRepository\009\initial","1/a.txt","TestData\BlobRepository\009\expected.Copy",,,"【正常系】１階層下のファイルをコピー"
"010","TestData\BlobRepository\010\initial","1/2/3/4/5/6/7/8/9/10/a.txt","TestData\BlobRepository\010\expected.Copy",,,"【正常系】１０階層下のファイルをコピー"
"011","TestData\BlobRepository\011\initial","1/2/3/4/5/6/7/8/9/10/a.txt","TestData\BlobRepository\011\expected.Copy",,,"【正常系】１０階層下のファイルをコピー"
