no,in_TestDateTime,in_AppSettings,in_InsertNewDataSqlPath,in_UploadedBlobInfo,expected_BlobStatusPath,expected_DBStatusPath,expected_BlobContents,expected_LogResource,expected_LogInfo,expected_CheckNotAddedDeviceFile,error_Copy,error_PrimaryDelete,error_CollectingDelete,error_CreateDtDeviceFile,error_Index,remark
5,2020-05-01T00:00:00.000,"{ ""CollectingBlobContainerNameUnknown"": ""unknown"",  ""BlobIndexerKeepFileDays"": ""7"", ""DbAccessMaxAttempts"": ""3"", ""DbAccessDelayDeltaSeconds"": ""3"", ""BlobAccessMaxAttempts"": ""3"", ""BlobAccessDelayDeltaSeconds"": ""3"", ""CollectingBlobContainerNameCollect"": ""changedcollect"" }",,TestData\UploadedFileInfo\004\UploadedFileInfo.csv,TestData\Status\BlobIndexer_005\BlobStatus.csv,,,CO_BLI_BLI_009,TestData\LogInfo\BlobIndexer_005\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
6,2020-05-01T00:00:00.000,"{ ""CollectingBlobContainerNameCollect"": ""collect"", ""CollectingBlobContainerNameUnknown"": ""unknown"",  ""BlobIndexerKeepFileDays"": ""7"", ""DbAccessMaxAttempts"": ""3"", ""DbAccessDelayDeltaSeconds"": ""3"", ""BlobAccessMaxAttempts"": ""3"", ""BlobAccessDelayDeltaSeconds"": ""3"", ""CollectingBlobContainerNameUnknown"": ""changedunknown"" }",,TestData\UploadedFileInfo\005\UploadedFileInfo.csv,TestData\Status\BlobIndexer_006\BlobStatus.csv,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
9,2020-05-01T00:00:00.000,"{ ""CollectingBlobContainerNameCollect"": ""collect"", ""CollectingBlobContainerNameUnknown"": ""unknown"",  ""BlobIndexerKeepFileDays"": ""7"", ""DbAccessMaxAttempts"": ""3"", ""DbAccessDelayDeltaSeconds"": ""3"", ""BlobAccessMaxAttempts"": ""3"", ""BlobAccessDelayDeltaSeconds"": ""3"" }",,TestData\UploadedFileInfo\002\UploadedFileInfo.csv,TestData\Status\BlobIndexer_009\BlobStatus.csv,TestData\Status\BlobIndexer_009\DBStatus.json,,CO_BLI_BLI_009,TestData\LogInfo\BlobIndexer_009\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
10,2020-05-01T00:00:00.000,"{ ""CollectingBlobContainerNameCollect"": ""collect"", ""CollectingBlobContainerNameUnknown"": ""unknown"",  ""BlobIndexerKeepFileDays"": ""7"", ""DbAccessMaxAttempts"": ""3"", ""DbAccessDelayDeltaSeconds"": ""3"", ""BlobAccessMaxAttempts"": ""3"", ""BlobAccessDelayDeltaSeconds"": ""3"" }",TestData\Sqls\001\MakeDeviceFileData.sql,TestData\UploadedFileInfo\003\UploadedFileInfo.csv,TestData\Status\BlobIndexer_010\BlobStatus.csv,TestData\Status\BlobIndexer_010\DBStatus.json,"{ ""ContainerName"": ""log"", ""Path"": ""120/file.json"", ""Contents"": { ""no"": ""1"", ""filename"": ""file.json"" }}",,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
11,2020-05-01T00:00:00.000,"{ ""CollectingBlobContainerNameCollect"": ""collect"", ""CollectingBlobContainerNameUnknown"": ""unknown"",  ""BlobIndexerKeepFileDays"": ""7"", ""DbAccessMaxAttempts"": ""3"", ""DbAccessDelayDeltaSeconds"": ""3"", ""BlobAccessMaxAttempts"": ""3"", ""BlobAccessDelayDeltaSeconds"": ""3"" }",,TestData\UploadedFileInfo\006\UploadedFileInfo.csv,TestData\Status\BlobIndexer_011\BlobStatus.csv,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
12,2020-05-01T00:00:00.000,"{ ""CollectingBlobContainerNameCollect"": ""collect"", ""CollectingBlobContainerNameUnknown"": ""unknown"",  ""BlobIndexerKeepFileDays"": ""7"", ""DbAccessMaxAttempts"": ""3"", ""DbAccessDelayDeltaSeconds"": ""3"", ""BlobAccessMaxAttempts"": ""3"", ""BlobAccessDelayDeltaSeconds"": ""3"" }",,TestData\UploadedFileInfo\005\UploadedFileInfo.csv,TestData\Status\BlobIndexer_012\BlobStatus.csv,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
21,2020-05-01T00:00:00.000,"{ ""CollectingBlobContainerNameUnknown"": ""unknown"",  ""BlobIndexerKeepFileDays"": ""7"", ""DbAccessMaxAttempts"": ""3"", ""DbAccessDelayDeltaSeconds"": ""3"", ""BlobAccessMaxAttempts"": ""3"", ""BlobAccessDelayDeltaSeconds"": ""3"" }",,TestData\UploadedFileInfo\001\UploadedFileInfo.csv,TestData\Status\BlobIndexer_021\BlobStatus.csv,TestData\Status\BlobIndexer_021\DBStatus.json,,CO_BLI_BLI_009,TestData\LogInfo\BlobIndexer_021\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
22,2020-05-01T00:00:00.000,"{ ""CollectingBlobContainerNameCollect"": ""collect"", ""BlobIndexerKeepFileDays"": ""7"", ""DbAccessMaxAttempts"": ""3"", ""DbAccessDelayDeltaSeconds"": ""3"", ""BlobAccessMaxAttempts"": ""3"", ""BlobAccessDelayDeltaSeconds"": ""3"" }",,TestData\UploadedFileInfo\005\UploadedFileInfo.csv,TestData\Status\BlobIndexer_022\BlobStatus.csv,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
23,2020-05-01T00:00:00.000,,,,,,,CO_BLI_BLI_001,TestData\LogInfo\BlobIndexer_023\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
24,2020-05-01T00:00:00.000,"{ ""CollectingBlobContainerNameCollect"": ""collect"", ""CollectingBlobContainerNameUnknown"": ""unknown"",  ""BlobIndexerKeepFileDays"": ""7"", ""DbAccessMaxAttempts"": ""3"", ""DbAccessDelayDeltaSeconds"": ""3"", ""BlobAccessMaxAttempts"": ""3"", ""BlobAccessDelayDeltaSeconds"": ""3"", ""ConnectionStrings:CollectingBlobConnectionString"": ""BlobEndpoint=https://rmscoemujpecollect01.blob.core.windows.net/;QueueEndpoint=https://rmscoemujpecollect01.queue.core.windows.net/;FileEndpoint=https://rmscoemujpecollect01.file.core.windows.net/;TableEndpoint=https://rmscoemujpecollect01.table.core.windows.net/;SharedAccessSignature=sv=2019-02-02&ss=bfqt&srt=sco&sp=rwdlacup&se=9999-12-31T14:59:59Z&st=2019-12-31T15:00:00Z&spr=https&sig=MoblcA%2FhuV5aYUBQomExVYqewEPkMpk1uCy74vKpY3U%3E"" }",,,,,,CO_BLI_BLI_003,TestData\LogInfo\BlobIndexer_024\LogInfo.csv,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
