No,mock_Exception,in_AppSettingsJson,in_InitializeSqlList,expected_TargetTableDataSet,expected_NonTargetTableDataSet,expected_ExistLogMessages,expected_NotExistLogMessages,Remarks
"006","","TestData\AppSettings_001.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_002.sql,TestData\SQL_DBCleaner_in_003.sql","TestData\expected.006","TestData\expected.all","TestData\expected.006\exist_logs.txt","TestData\expected.006\not_exist_logs.txt","対象データの収集日時が削除対象外"
"007","","TestData\AppSettings_001.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql,TestData\SQL_DBCleaner_in_005.sql","TestData\expected.007","TestData\expected.all","TestData\expected.007\exist_logs.txt","TestData\expected.007\not_exist_logs.txt","対象データの収集日時が削除対象内"
"008","","TestData\AppSettings_002.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_006.sql,TestData\SQL_DBCleaner_in_007.sql","TestData\expected.008","TestData\expected.all","TestData\expected.008\exist_logs.txt","TestData\expected.008\not_exist_logs.txt","対象データの収集日時が削除対象内-年を跨ぐ場合(昨年11月)"
"009","","TestData\AppSettings_002.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_008.sql,TestData\SQL_DBCleaner_in_009.sql","TestData\expected.009","TestData\expected.all","TestData\expected.009\exist_logs.txt","TestData\expected.009\not_exist_logs.txt","対象データの収集日時が削除対象外-年を跨ぐ場合(昨年12月)"
"010","","TestData\AppSettings_001.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_004.sql,TestData\SQL_DBCleaner_in_005.sql","TestData\expected.010","TestData\expected.all","TestData\expected.010\exist_logs.txt","TestData\expected.010\not_exist_logs.txt","端末SID毎に最新の収集日時が残る"
"011","","TestData\AppSettings_001.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql","TestData\expected.011","TestData\expected.all","TestData\expected.011\exist_logs.txt","TestData\expected.011\not_exist_logs.txt","削除対象のデータが存在しない"
"012","","TestData\AppSettings_001.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_010.sql","TestData\expected.012","TestData\expected.all","TestData\expected.012\exist_logs.txt","TestData\expected.012\not_exist_logs.txt","収集日時の値がNull"
"015","","TestData\AppSettings_000.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.015","TestData\expected.all","TestData\expected.015\exist_logs.txt","TestData\expected.015\not_exist_logs.txt","指定のアプリケーション設定がないとき何もしない"
"016","","TestData\AppSettings_003.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.016","TestData\expected.all","TestData\expected.016\exist_logs.txt","TestData\expected.016\not_exist_logs.txt","アプリケーション設定の＜処理クラス名＞部分については大文字・小文字を区別する"
"017","","TestData\AppSettings_004.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.017","TestData\expected.all","TestData\expected.017\exist_logs.txt","TestData\expected.017\not_exist_logs.txt","アプリケーション設定の＜処理クラス名＞部分以外については大文字・小文字が区別しない"
