No,in_InitializeSqlSet,in_Message,expected_TableData,expected_FailureBlobFileSet,expected_LogMessages,expected_WithoutError,in_AppSettings,error_Method,remarks
5,TestData\DispatchDiskDrive\005\initial.SQL,TestData\DispatchDiskDrive\005\input.message.json,,TestData\DispatchDiskDrive\005\expected.FailureBlob,,,TestData\AppSettings_004.json,,
7,TestData\DispatchDiskDrive\007\initial.SQL,TestData\DispatchDiskDrive\007\input.message.json,TestData\DispatchDiskDrive\007\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\007\expected.FailureBlob,TestData\DispatchDiskDrive\007\expected.logs.txt,TRUE,,,
8,TestData\DispatchDiskDrive\008\initial.SQL,TestData\DispatchDiskDrive\008\input.message.json,TestData\DispatchDiskDrive\008\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\008\expected.FailureBlob,TestData\DispatchDiskDrive\008\expected.logs.txt,TRUE,,,
9,TestData\DispatchDiskDrive\009\initial.SQL,TestData\DispatchDiskDrive\009\input.message.json,TestData\DispatchDiskDrive\009\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\009\expected.FailureBlob,TestData\DispatchDiskDrive\009\expected.logs.txt,TRUE,,,
10,TestData\DispatchDiskDrive\010\initial.SQL,TestData\DispatchDiskDrive\010\input.message.json,TestData\DispatchDiskDrive\010\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\010\expected.FailureBlob,,,,,
11,TestData\DispatchDiskDrive\011\initial.SQL,TestData\DispatchDiskDrive\011\input.message.json,TestData\DispatchDiskDrive\011\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\011\expected.FailureBlob,TestData\DispatchDiskDrive\011\expected.logs.txt,TRUE,,,
16,TestData\DispatchDiskDrive\016\initial.SQL,TestData\DispatchDiskDrive\016\input.message.json,TestData\DispatchDiskDrive\016\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\016\expected.FailureBlob,TestData\DispatchDiskDrive\016\expected.logs.txt,,,,
17,TestData\DispatchDiskDrive\017\initial.SQL,TestData\DispatchDiskDrive\017\input.message.json,TestData\DispatchDiskDrive\017\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\017\expected.FailureBlob,TestData\DispatchDiskDrive\017\expected.logs.txt,,,,
18,TestData\DispatchDiskDrive\018\initial.SQL,TestData\DispatchDiskDrive\018\input.message.json,TestData\DispatchDiskDrive\018\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\018\expected.FailureBlob,TestData\DispatchDiskDrive\018\expected.logs.txt,,,,
19,TestData\DispatchDiskDrive\019\initial.SQL,TestData\DispatchDiskDrive\019\input.message.json,TestData\DispatchDiskDrive\019\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\019\expected.FailureBlob,TestData\DispatchDiskDrive\019\expected.logs.txt,,,,
