No,in_InitializeSqlSet,in_Message,expected_TableData,expected_FailureBlobFileSet,expected_LogMessages,expected_WithoutError,in_AppSettings,error_Method,remarks
5,TestData\DispatchSoftVersion\005\initial.SQL,TestData\DispatchSoftVersion\005\input.message.json,,TestData\DispatchSoftVersion\005\expected.FailureBlob,,,TestData\AppSettings_004.json,,
7,TestData\DispatchSoftVersion\007\initial.SQL,TestData\DispatchSoftVersion\007\input.message.json,TestData\DispatchSoftVersion\007\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\007\expected.FailureBlob,TestData\DispatchSoftVersion\007\expected.logs.txt,TRUE,,,
8,TestData\DispatchSoftVersion\008\initial.SQL,TestData\DispatchSoftVersion\008\input.message.json,TestData\DispatchSoftVersion\008\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\008\expected.FailureBlob,TestData\DispatchSoftVersion\008\expected.logs.txt,TRUE,,,
9,TestData\DispatchSoftVersion\009\initial.SQL,TestData\DispatchSoftVersion\009\input.message.json,TestData\DispatchSoftVersion\009\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\009\expected.FailureBlob,TestData\DispatchSoftVersion\009\expected.logs.txt,TRUE,,,
10,TestData\DispatchSoftVersion\010\initial.SQL,TestData\DispatchSoftVersion\010\input.message.json,TestData\DispatchSoftVersion\010\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\010\expected.FailureBlob,,,,,
11,TestData\DispatchSoftVersion\011\initial.SQL,TestData\DispatchSoftVersion\011\input.message.json,TestData\DispatchSoftVersion\011\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\011\expected.FailureBlob,TestData\DispatchSoftVersion\011\expected.logs.txt,TRUE,,,
16,TestData\DispatchSoftVersion\016\initial.SQL,TestData\DispatchSoftVersion\016\input.message.json,TestData\DispatchSoftVersion\016\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\016\expected.FailureBlob,TestData\DispatchSoftVersion\016\expected.logs.txt,,,,
17,TestData\DispatchSoftVersion\017\initial.SQL,TestData\DispatchSoftVersion\017\input.message.json,TestData\DispatchSoftVersion\017\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\017\expected.FailureBlob,TestData\DispatchSoftVersion\017\expected.logs.txt,,,,
18,TestData\DispatchSoftVersion\018\initial.SQL,TestData\DispatchSoftVersion\018\input.message.json,TestData\DispatchSoftVersion\018\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\018\expected.FailureBlob,TestData\DispatchSoftVersion\018\expected.logs.txt,,,,
19,TestData\DispatchSoftVersion\019\initial.SQL,TestData\DispatchSoftVersion\019\input.message.json,TestData\DispatchSoftVersion\019\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\019\expected.FailureBlob,TestData\DispatchSoftVersion\019\expected.logs.txt,,,,
20,TestData\DispatchSoftVersion\020\initial.SQL,TestData\DispatchSoftVersion\020\input.message.json,TestData\DispatchSoftVersion\020\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\020\expected.FailureBlob,TestData\DispatchSoftVersion\020\expected.logs.txt,,,,
21,TestData\DispatchSoftVersion\021\initial.SQL,TestData\DispatchSoftVersion\021\input.message.json,TestData\DispatchSoftVersion\021\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\021\expected.FailureBlob,TestData\DispatchSoftVersion\021\expected.logs.txt,,,,
22,TestData\DispatchSoftVersion\022\initial.SQL,TestData\DispatchSoftVersion\022\input.message.json,TestData\DispatchSoftVersion\022\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\022\expected.FailureBlob,TestData\DispatchSoftVersion\022\expected.logs.txt,,,,
23,TestData\DispatchSoftVersion\023\initial.SQL,TestData\DispatchSoftVersion\023\input.message.json,TestData\DispatchSoftVersion\023\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\023\expected.FailureBlob,TestData\DispatchSoftVersion\023\expected.logs.txt,,,,
24,TestData\DispatchSoftVersion\024\initial.SQL,TestData\DispatchSoftVersion\024\input.message.json,TestData\DispatchSoftVersion\024\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\024\expected.FailureBlob,TestData\DispatchSoftVersion\024\expected.logs.txt,,,,
25,TestData\DispatchSoftVersion\025\initial.SQL,TestData\DispatchSoftVersion\025\input.message.json,TestData\DispatchSoftVersion\025\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\025\expected.FailureBlob,TestData\DispatchSoftVersion\025\expected.logs.txt,,,,
26,TestData\DispatchSoftVersion\026\initial.SQL,TestData\DispatchSoftVersion\026\input.message.json,TestData\DispatchSoftVersion\026\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\026\expected.FailureBlob,TestData\DispatchSoftVersion\026\expected.logs.txt,,,,
27,TestData\DispatchSoftVersion\027\initial.SQL,TestData\DispatchSoftVersion\027\input.message.json,TestData\DispatchSoftVersion\027\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\027\expected.FailureBlob,TestData\DispatchSoftVersion\027\expected.logs.txt,,,,
28,TestData\DispatchSoftVersion\028\initial.SQL,TestData\DispatchSoftVersion\028\input.message.json,TestData\DispatchSoftVersion\028\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\028\expected.FailureBlob,TestData\DispatchSoftVersion\028\expected.logs.txt,,,,
29,TestData\DispatchSoftVersion\029\initial.SQL,TestData\DispatchSoftVersion\029\input.message.json,TestData\DispatchSoftVersion\029\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\029\expected.FailureBlob,TestData\DispatchSoftVersion\029\expected.logs.txt,,,,
30,TestData\DispatchSoftVersion\030\initial.SQL,TestData\DispatchSoftVersion\030\input.message.json,TestData\DispatchSoftVersion\030\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\030\expected.FailureBlob,TestData\DispatchSoftVersion\030\expected.logs.txt,,,,
31,TestData\DispatchSoftVersion\031\initial.SQL,TestData\DispatchSoftVersion\031\input.message.json,TestData\DispatchSoftVersion\031\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\031\expected.FailureBlob,TestData\DispatchSoftVersion\031\expected.logs.txt,,,,
